Ciudad,Clave ciudad,Entidad,Apertura de un negocio,Densidad poblacional,Salario mensual para trabajadores de tiempo completo,Crédito a las empresas,Diversificación económica,Acceso a servicios financieros,Inversión extranjera directa neta,Ciudad fronteriza o portuaria,Empresas,Centros de investigación,Patentes,Superficie Urbana,Productividad,PIB
Aguascalientes,1,Aguascalientes,0.20125,87.26715568,5979.028282,45.77085426,715,6.278573046,384.3673183,0.00,26.88655783,5.361522655,8.447995198,114.8712922,2.283082702,195399821.4
Ensenada,55,Baja California,0.5965,42.26683381,6259.41487,165.2833616,600,6.585074647,219.6637179,1.00,26.87434201,1.82567719,4.027202236,121.0812807,4.306368464,26647667.82
Mexicali,3,Baja California,0.5965,47.4094333,7400.100189,70.3821623,678,8.43524273,371.3904196,2.00,14.19131068,0,8.581254077,213.4804288,5.815267243,113692990.4
Tijuana,2,Baja California,0.5965,59.64813323,6217.355649,45.38127731,738,7.035180118,198.0256106,2.00,18.48179688,0.978831719,8.839476528,320.0558846,5.524613022,188957537.9
La Paz,56,Baja California Sur,0.41075,44.8805625,7760.034557,800.0620893,546,8.916140214,2402.73465,1.00,31.9588133,1.987380406,15.25031328,63.04613185,6.347106031,17993378.5
Los Cabos,57,Baja California Sur,0.41075,58.68910519,7795.038014,410.7259154,481,7.756039011,1308.937852,1.00,28.89676911,0,10.33105012,50.17153829,14.19317617,26161934.51
Campeche,58,Campeche,0.3465,55.89634782,6224.949264,747.5133593,520,4.640351893,1518.324836,1.00,24.2998158,11.99826293,11.34823897,50.48277201,10.71205314,16795837.93
Ciudad del Carmen,59,Campeche,0.3465,59.00162118,9674.084123,7.944785248,483,4.584681114,731.2271639,1.00,20.36170932,5.581460914,3.843508019,41.1237926,-1.549525469,642160692.4
Saltillo,5,Coahuila,0.46725,42.49414924,7083.516774,27.74058914,677,8.965241692,192.3252336,0.00,22.15428242,4.943690396,3.912404528,209.0608371,3.888011359,360987838.2
Monclova-Frontera,6,Coahuila,0.46725,33.85079169,7438.935681,131.9087654,511,8.298880674,925.1121627,0.00,28.78179384,2.622319586,2.841085534,98.95292477,3.308869488,86743288.91
La Laguna,4,Coahuila,0.542058684,53.8256525,6434.328825,41.08690219,717,6.161492306,169.5158082,0.00,23.96104061,1.48246655,1.501326213,241.1987918,4.194968543,231597164.4
Piedras Negras,7,Coahuila,0.46725,27.26456093,5269.390085,115.156619,443,10.58802538,1182.425798,1.00,39.39011187,0,1.253763675,69.35177277,2.547522167,37399823.79
Tecomán,9,Colima,0.024,58.15016849,5266.484897,126.2303472,392,4.914853964,406.5351181,0.00,17.4460505,0,1.810503958,26.49253906,1.393040489,6364045.425
Colima-Villa de Álvarez,8,Colima,0.024,53.5060626,6742.860644,50.05317053,577,6.378912262,156.5512027,0.00,24.42384188,2.080013906,3.031956052,68.10905839,6.518784991,18527319.85
Manzanillo,60,Colima,0.024,45.36856477,8112.091531,202.4352675,445,8.106074581,1076.586911,1.00,29.78969208,2.128032305,5.817655441,39.25643479,4.719842405,16322165.73
Tuxtla Gutiérrez,10,Chiapas,0.4675,53.91397593,6056.296727,79.76823475,618,5.301870171,209.081071,0.00,17.22507036,7.360531508,5.12839802,139.4589952,4.393296222,38005905.46
Tapachula,61,Chiapas,0.4675,74.47469106,4436.28013,330.0060494,496,4.274812986,524.218068,2.00,16.42339313,5.253212188,5.78374241,47.15222166,8.406117968,12968602.95
