actividad,sector,modalidad,estado,2010,2011,2012,2013,2014,2015,2016
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",primaria,,aguascalientes,6517,6909,7251,7271,7782,8008,8266
Minería petrolera,secundaria,mineria,aguascalientes,0,0,0,0,0,0,0
Minería no petrolera,secundaria,mineria,aguascalientes,546,532,566,1010,1020,833,769
"Generación, transmisión y distribución de energía eléctrica, suministro de agua y de gas por ductos al consumidor final",secundaria,,aguascalientes,1205,1261,1276,1296,1494,1529,1521
Construcción,secundaria,,aguascalientes,21216,21269,22945,22414,25171,23644,26492
Industria alimentaria,secundaria,manufactura,aguascalientes,8205,8274,8352,8781,8512,9028,10221
Industria de las bebidas y del tabaco,secundaria,manufactura,aguascalientes,560,612,662,741,706,648,449
"Fabricación de insumos textiles y acabado de textiles; Fabricación de productos textiles, excepto prendas de vestir",secundaria,manufactura,aguascalientes,866,643,690,833,770,834,901
"Fabricación de prendas de vestir; Curtido y acabado de cuero y piel, y fabricación de productos de cuero, piel y materiales sucedáneos",secundaria,manufactura,aguascalientes,2344,2297,2113,2054,1964,1914,2003
Industria de la madera,secundaria,manufactura,aguascalientes,110,108,124,143,142,146,169
Industria del papel; Impresión e industrias conexas,secundaria,manufactura,aguascalientes,395,399,378,416,441,666,762
Fabricación de productos derivados del petróleo y del carbón; Industria química; Industria del plástico y del hule,secundaria,manufactura,aguascalientes,778,789,876,1126,1458,1335,1484
Fabricación de productos a base de minerales no metálicos,secundaria,manufactura,aguascalientes,766,829,948,985,1024,1020,1065
Industrias metálicas básicas; Fabricación de productos metálicos,secundaria,manufactura,aguascalientes,1248,1159,1203,1054,973,1089,1184
"Fabricación de maquinaria, computo, comunicación, medición, aparatos eléctricos, equipo de generación de energía eléctrica; transporte",secundaria,manufactura,aguascalientes,21545,23235,25552,27617,37724,39939,40986
"Fabricación de muebles, colchones y persianas",secundaria,manufactura,aguascalientes,667,678,733,786,706,764,771
Otras industrias manufactureras,secundaria,manufactura,aguascalientes,214,260,296,341,363,389,483
Comercio al por mayor,terciaria,,aguascalientes,12301,14019,14834,15641,17784,19553,26979
Comercio al por menor,terciaria,,aguascalientes,14368,15391,15360,16537,17153,17189,18101
"Transportes, correos y almacenamiento",terciaria,,aguascalientes,7836,8223,8600,8875,9280,9642,9880
Información en medios masivos,terciaria,,aguascalientes,1157,1202,1475,1521,1606,2004,2564
Servicios financieros y de seguros,terciaria,,aguascalientes,2756,2806,3294,3760,4255,4606,5543
Servicios inmobiliarios y de alquiler de bienes muebles e intangibles,terciaria,,aguascalientes,16150,16695,17189,17405,17774,18280,18888
"Servicios profesionales, científicos y técnicos",terciaria,,aguascalientes,2296,2259,2351,2494,2530,2618,2855
Corporativos,terciaria,,aguascalientes,0,0,0,0,0,0,0
"Servicios de apoyo a los negocios y manejo de residuos y desechos, y servicios de remediación",terciaria,,aguascalientes,3557,3820,3944,3834,3795,4025,4209
Servicios educativos,terciaria,,aguascalientes,7094,7200,7255,7259,7124,7816,7998
Servicios de salud y de asistencia social,terciaria,,aguascalientes,4067,4011,4345,4183,4407,4691,5109
"Servicios de esparcimiento culturales y deportivos, y otros servicios recreativos",terciaria,,aguascalientes,381,381,394,410,404,423,443
Servicios de alojamiento temporal y de preparación de alimentos y bebidas,terciaria,,aguascalientes,2308,2440,2818,2902,3042,3461,3794
Otros servicios excepto actividades gubernamentales,terciaria,,aguascalientes,2668,2653,2762,2833,2857,2899,2998
"Actividades legislativas, gubernamentales, de impartición de justicia y de organismos internacionales y extraterritoriales",terciaria,,aguascalientes,8083,8583,9121,8298,8778,9182,9442
"Agricultura, cría y explotación de animales, aprovechamiento forestal, pesca y caza",primario,,Baja California,13323,13184,13220,14182,14088,14860,13841
Minería petrolera,secundaria,mineria,Baja California,0,0,0,0,0,0,0
