Entidad,Productividad 2010,Productividad 2011,Productividad 2012,Productividad 2013,Productividad 2014,Productividad 2015,Productividad 2016
Aguascalientes,0.26327575,1.010395405,0.985238297,2.636501556,2.283082702,1.470226176,-13.9466349
Baja California,-0.448911222,1.223435922,0.982780596,2.250491314,5.215416243,1.204929392,-8.715467823
Baja California Sur,-2.512691277,2.045141793,1.185492363,1.488348217,10.2701411,0.914767793,-0.05818878
Campeche,-3.660102003,2.976136509,1.401321663,-2.815545818,4.581263833,0.746654161,-0.602275924
Coahuila,0.722021408,1.465094425,1.072111981,2.272569718,3.827288088,1.429874458,-13.75877063
Colima,-2.301662564,1.679095574,1.206533434,1.437712522,4.210555962,1.100641098,-4.129487437
Chiapas,-1.649093023,1.137814212,1.047050709,2.103177597,6.399707095,1.074408789,-5.335864262
Chihuahua,0.599310773,1.366769023,1.041126401,1.644985914,2.890334659,1.212608265,-10.53995783
Ciudad de Mexico,0.601308748,1.287499404,1.092004917,2.222647953,6.253987868,1.162395277,-6.92284412
Durango,-2.26128195,1.272591603,1.126122477,2.06156164,8.039564407,1.193681174,-5.689077045
Guanajuato,0.162080789,1.000560579,1.005191897,2.518092247,4.132585692,1.380173032,-12.62364265
Guerrero,-3.213358355,1.170912606,1.089580165,1.886988055,4.411057542,0.941743776,-0.833722808
Hidalgo,0.648217386,2.510392561,1.186861022,2.189349899,2.908646806,1.162813292,-7.421394706
Jalisco,0.77349537,1.411848225,1.017184416,2.114931339,9.389361547,1.091254655,-5.737420643
Mexico,0.77098453,1.075768649,1.031399975,2.292866681,3.420680946,1.137187791,-7.746803866
Michoacan,-0.193841256,1.156627031,1.066239333,2.010293355,4.168897745,1.025157222,-5.34292005
Morelos,1.180017775,3.464022189,1.412600251,2.274744088,3.412787408,1.274256219,-6.430156634
Nayarit,-1.955519083,1.134632839,1.074007056,1.67602442,4.263445397,1.078816977,-5.97921091
Nuevo Leon,0.298789169,1.379802884,1.072030329,2.523267412,4.837438649,1.349891343,-11.20311446
Oaxaca,0.472743866,1.043792004,1.062182915,2.24703283,3.066821439,1.153029752,-6.789801441
Puebla,0.270033757,1.014453298,1.007248435,2.311101789,5.020363882,1.226504529,-8.831679247
Queretaro,0.46004302,1.023652018,0.998645879,2.263723937,2.160336827,1.38074312,-13.68961498
Quintana Roo,-1.955817232,1.283912466,1.000838671,1.819326268,12.0923519,0.965197632,-1.23215915
San Luis Potosi,1.29505896,0.980160484,1.075344725,1.868832194,3.992355234,1.048712945,-5.717383611
Sinaloa,-1.05073965,1.371387504,1.053167564,1.933294069,4.683411567,0.981536033,-4.497014125
Sonora,-0.895159411,1.43083292,1.040280104,2.385345141,6.554766065,1.330859095,-11.09847842
Tabasco,-4.073908317,2.946306547,1.402727381,2.182262347,4.89942987,1.166123153,-5.530721611
Tamaulipas,0.088398512,1.292553511,1.088287158,2.053218892,5.048376942,1.284726516,-7.737264793
Tlaxcala,1.189392623,1.008242448,1.008696547,2.352371885,4.035815322,1.227533837,-9.560486017
Veracruz,0.693980126,1.342348787,1.133071653,1.738297779,3.684701227,1.140613043,-4.914958037
Yucatan,-0.8508656,1.026183119,1.008700178,2.125071905,3.477822417,1.068673119,-7.843061677
Zacatecas,-4.281050526,2.213528554,1.30080867,-0.507472029,2.978263438,0.939011717,-3.580394636
